2014-10-07 00:35:01,168 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2014-10-07 00:35:01,174 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2014-10-07 00:35:01,433 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-62973-1412613113506-0:1) uptime 3 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2014-10-07 00:35:01,438 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-62973-1412613113506-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2014-10-07 00:35:01,442 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@5d7e06: startup date [Tue Oct 07 00:31:50 SGT 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2014-10-07 00:35:01,482 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2014-10-07 00:35:26,872 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@5d7e06: startup date [Tue Oct 07 00:35:26 SGT 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-10-07 00:35:29,774 | INFO  | PListStore:[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-10-07 00:35:29,882 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-10-07 00:35:32,006 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 00:35:32,108 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 00:35:32,135 | INFO  | Recovery replayed 38 operations from the journal in 0.084 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2014-10-07 00:35:32,435 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63052-1412613332246-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-10-07 00:35:32,720 | INFO  | Listening for connections at: tcp://gerrypc:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 00:35:32,727 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:35:32,745 | INFO  | Listening for connections at: amqp://gerrypc:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 00:35:32,752 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:35:32,769 | INFO  | Listening for connections at: stomp://gerrypc:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 00:35:32,777 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:35:32,792 | INFO  | Listening for connections at: mqtt://gerrypc:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-10-07 00:35:32,799 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:35:33,340 | INFO  | Listening for connections at ws://gerrypc:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-10-07 00:35:33,344 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-10-07 00:35:33,357 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63052-1412613332246-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-10-07 00:35:33,365 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-10-07 00:35:34,535 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-10-07 00:35:34,755 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-10-07 00:35:35,964 | INFO  | jolokia-agent: No access restrictor found at classpath:/jolokia-access.xml, access to all MBeans is allowed | /api | main
2014-10-07 00:57:49,402 | WARN  | Transport Connection to: tcp://127.0.0.1:63314 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63314@61616
2014-10-07 00:58:42,588 | WARN  | Transport Connection to: tcp://127.0.0.1:63323 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63323@61616
2014-10-07 00:58:55,152 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63052-1412613332246-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2014-10-07 00:58:55,161 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:58:55,166 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:58:55,172 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:58:55,176 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:58:55,269 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2014-10-07 00:58:55,282 | INFO  | PListStore:[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2014-10-07 00:58:55,285 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2014-10-07 00:58:55,288 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2014-10-07 00:58:55,292 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2014-10-07 00:58:55,506 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63052-1412613332246-0:1) uptime 23 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2014-10-07 00:58:55,511 | INFO  | Apache ActiveMQ 5.10.0 (localhost, ID:gerrypc-63052-1412613332246-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2014-10-07 00:58:55,515 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@5d7e06: startup date [Tue Oct 07 00:35:26 SGT 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2014-10-07 00:58:55,550 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2014-10-07 01:00:15,814 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1fcbc19: startup date [Tue Oct 07 01:00:15 SGT 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-10-07 01:00:18,663 | INFO  | PListStore:[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-10-07 01:00:18,769 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Anggacipta\Documents\GitHub\CTREX5\apache-activemq-5.10.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2014-10-07 01:00:20,745 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
